"სრული დასახელება","მოკლე დასახელება","english titles"
"სულ","სულ","Total"
"სოფლის, სატყეო და თევზის მეურნეობა","სოფლის მეურნეობა","Agriculture"
"დამამუშავებელი მრეწველობა","დამამუშავებელი მრეწველობა","Manufacturing"
"ელექტროენერგიის, აირის, ორთქლის და კონდიცირებული ჰაერის მიწოდება","ენერგეტიკა","Energy"
"მშენებლობა","მშენებლობა","Construction"
"საბითუმო და საცალო ვაჭრობა; ავტომობილების და მოტოციკლების რემონტი","საბითუმო და საცალო ვაჭრობა","Wholesale and Retail Trade"
"ტრანსპორტი და დასაწყობება","ტრანსპორტი","Transport"
"განთავსების საშუალებებით უზრუნველყოფის და საკვების მიწოდების საქმიანობები","სასტუმროები და რესტორნები","Hotels and Restaurants"
"ინფორმაცია და კომუნიკაცია","ინფორმაცია და კომუნიკაცია","Information and Communication"
"საფინანსო და სადაზღვევო საქმიანობები","საფინანსო და სადაზღვევო საქმიანობები","Financial and Insurance Activities"
"უძრავ ქონებასთან დაკავშირებული საქმიანობები","უძრავი ქონება","Real Estate"
"პროფესიული, სამეცნიერო და ტექნიკური საქმიანობები","სამეცნიერო საქმიანობები","Scientific Activities"
"ადმინისტრაციული და დამხმარე მომსახურების საქმიანობები","ადმინისტრაციული საქმიანობები","Administrative Activities"
"განათლება","განათლება","Education"
"ჯანდაცვა და სოციალური მომსახურების საქმიანობები","ჯანდაცვა","Healthcare"
"სამთომოპოვებითი მრეწველობა და კარიერების დამუშავება","სამთომოპოვებითი მრეწველობა","Mining and Quarrying"
"წყალმომარაგება; კანალიზაცია, ნარჩენების მართვა და დაბინძურებისაგან გასუფთავების საქმიანობები","წყალმომარაგება","Water Supply"
"სხვა სახის მომსახურება","სხვა სახის მომსახურება","Other Services"
"ხელოვნება, გართობა და დასვენება","ხელოვნება","Arts"
